LSOA11CD,LSOA11NM,MSOA11CD,MSOA11NM,LAD11CD,LAD11NM,RGN11CD,RGN11NM,USUALRES,HHOLDRES,COMESTRES,POPDEN,HHOLDS,AVHHOLDSZ,area_km2,night_transport_pts,night_bus,night_tube,night_transport_density_km2,LAD19CD,LAD19NM
E01000027,Barking and Dagenham 001A,E02000002,Barking and Dagenham 001,E09000002,Barking and Dagenham,E12000007,London,1709,1688,21,11.6,641,2.6,1.4819370985662017,0,0,0,0.0,E09000002,Barking and Dagenham
E01000028,Barking and Dagenham 001B,E02000002,Barking and Dagenham 001,E09000002,Barking and Dagenham,E12000007,London,1549,1519,30,107.7,612,2.5,0.14712224178109065,0,0,0,0.0,E09000002,Barking and Dagenham
E01000029,Barking and Dagenham 001C,E02000002,Barking and Dagenham 001,E09000002,Barking and Dagenham,E12000007,London,1602,1602,0,62.4,690,2.3,0.25301378510722267,0,0,0,0.0,E09000002,Barking and Dagenham
E01000030,Barking and Dagenham 001D,E02000002,Barking and Dagenham 001,E09000002,Barking and Dagenham,E12000007,London,1915,1915,0,66.9,770,2.5,0.2835606429662363,0,0,0,0.0,E09000002,Barking and Dagenham
E01000031,Barking and Dagenham 002A,E02000003,Barking and Dagenham 002,E09000002,Barking and Dagenham,E12000007,London,1617,1617,0,19.2,598,2.7,0.8435532697540817,1,1,0,1.185461589511148,E09000002,Barking and Dagenham
E01000032,Barking and Dagenham 002B,E02000003,Barking and Dagenham 002,E09000002,Barking and Dagenham,E12000007,London,1629,1629,0,43.4,631,2.6,0.37926625392150926,1,1,0,2.6366701220060413,E09000002,Barking and Dagenham
E01000033,Barking and Dagenham 006A,E02000007,Barking and Dagenham 006,E09000002,Barking and Dagenham,E12000007,London,1361,1361,0,93.7,533,2.6,0.14276809227346487,0,0,0,0.0,E09000002,Barking and Dagenham
E01000034,Barking and Dagenham 003A,E02000004,Barking and Dagenham 003,E09000002,Barking and Dagenham,E12000007,London,1444,1348,96,28.1,517,2.6,0.5149443670238382,0,0,0,0.0,E09000002,Barking and Dagenham
E01000035,Barking and Dagenham 010A,E02000011,Barking and Dagenham 010,E09000002,Barking and Dagenham,E12000007,London,1610,1543,67,40.5,567,2.7,0.3943782499892549,0,0,0,0.0,E09000002,Barking and Dagenham
E01000036,Barking and Dagenham 010B,E02000011,Barking and Dagenham 010,E09000002,Barking and Dagenham,E12000007,London,1353,1353,0,32.3,469,2.9,0.42981569219758076,0,0,0,0.0,E09000002,Barking and Dagenham
E01000037,Barking and Dagenham 003B,E02000004,Barking and Dagenham 003,E09000002,Barking and Dagenham,E12000007,London,1688,1547,141,72.3,579,2.7,0.23751539999730034,0,0,0,0.0,E09000002,Barking and Dagenham
E01000038,Barking and Dagenham 003C,E02000004,Barking and Dagenham 003,E09000002,Barking and Dagenham,E12000007,London,1447,1447,0,67.6,563,2.6,0.2123090861316748,0,0,0,0.0,E09000002,Barking and Dagenham
E01000039,Barking and Dagenham 003D,E02000004,Barking and Dagenham 003,E09000002,Barking and Dagenham,E12000007,London,1603,1595,8,10.5,659,2.4,1.5254465945899838,0,0,0,0.0,E09000002,Barking and Dagenham
E01000040,Barking and Dagenham 019A,E02000020,Barking and Dagenham 019,E09000002,Barking and Dagenham,E12000007,London,1569,1569,0,91.9,640,2.5,0.1692941766004401,0,0,0,0.0,E09000002,Barking and Dagenham
E01000041,Barking and Dagenham 017A,E02000018,Barking and Dagenham 017,E09000002,Barking and Dagenham,E12000007,London,1682,1682,0,110.2,607,2.8,0.15165925334076008,0,0,0,0.0,E09000002,Barking and Dagenham
E01000042,Barking and Dagenham 017B,E02000018,Barking and Dagenham 017,E09000002,Barking and Dagenham,E12000007,London,1788,1786,2,77.3,679,2.6,0.23200035883993977,0,0,0,0.0,E09000002,Barking and Dagenham
E01000043,Barking and Dagenham 019B,E02000020,Barking and Dagenham 019,E09000002,Barking and Dagenham,E12000007,London,1358,1356,2,51.0,461,2.9,0.26531213213614696,0,0,0,0.0,E09000002,Barking and Dagenham
E01000044,Barking and Dagenham 016D,E02000017,Barking and Dagenham 016,E09000002,Barking and Dagenham,E12000007,London,1798,1793,5,105.4,629,2.9,0.17448581037571084,0,0,0,0.0,E09000002,Barking and Dagenham
E01000045,Barking and Dagenham 017C,E02000018,Barking and Dagenham 017,E09000002,Barking and Dagenham,E12000007,London,1650,1646,4,55.3,602,2.7,0.2995868210456859,0,0,0,0.0,E09000002,Barking and Dagenham
E01000046,Barking and Dagenham 017D,E02000018,Barking and Dagenham 017,E09000002,Barking and Dagenham,E12000007,London,1779,1779,0,114.4,654,2.7,0.15706861284873405,0,0,0,0.0,E09000002,Barking and Dagenham
E01000048,Barking and Dagenham 021B,E02000022,Barking and Dagenham 021,E09000002,Barking and Dagenham,E12000007,London,1783,1783,0,275.6,644,2.8,0.06403849286961275,0,0,0,0.0,E09000002,Barking and Dagenham
E01000049,Barking and Dagenham 021C,E02000022,Barking and Dagenham 021,E09000002,Barking and Dagenham,E12000007,London,1820,1820,0,85.8,643,2.8,0.21358063971502989,0,0,0,0.0,E09000002,Barking and Dagenham
E01000050,Barking and Dagenham 019C,E02000020,Barking and Dagenham 019,E09000002,Barking and Dagenham,E12000007,London,1661,1661,0,120.6,615,2.7,0.13816281997348664,0,0,0,0.0,E09000002,Barking and Dagenham
E01000051,Barking and Dagenham 021D,E02000022,Barking and Dagenham 021,E09000002,Barking and Dagenham,E12000007,London,1927,1927,0,288.9,725,2.7,0.06579607559092325,0,0,0,0.0,E09000002,Barking and Dagenham
E01000052,Barking and Dagenham 019D,E02000020,Barking and Dagenham 019,E09000002,Barking and Dagenham,E12000007,London,2014,2014,0,100.9,769,2.6,0.2005659557721506,0,0,0,0.0,E09000002,Barking and Dagenham
E01000053,Barking and Dagenham 020A,E02000021,Barking and Dagenham 020,E09000002,Barking and Dagenham,E12000007,London,1485,1484,1,82.1,645,2.3,0.17808468761242793,0,0,0,0.0,E09000002,Barking and Dagenham
E01000054,Barking and Dagenham 018A,E02000019,Barking and Dagenham 018,E09000002,Barking and Dagenham,E12000007,London,1718,1718,0,100.4,638,2.7,0.17103239925699443,0,0,0,0.0,E09000002,Barking and Dagenham
E01000055,Barking and Dagenham 018B,E02000019,Barking and Dagenham 018,E09000002,Barking and Dagenham,E12000007,London,1553,1553,0,106.4,560,2.8,0.14723500155674096,0,0,0,0.0,E09000002,Barking and Dagenham
E01000056,Barking and Dagenham 018C,E02000019,Barking and Dagenham 018,E09000002,Barking and Dagenham,E12000007,London,1584,1542,42,65.0,573,2.7,0.2489511488643711,0,0,0,0.0,E09000002,Barking and Dagenham
E01000057,Barking and Dagenham 012A,E02000013,Barking and Dagenham 012,E09000002,Barking and Dagenham,E12000007,London,1496,1496,0,101.3,537,2.8,0.14645700513548926,0,0,0,0.0,E09000002,Barking and Dagenham
E01000058,Barking and Dagenham 018D,E02000019,Barking and Dagenham 018,E09000002,Barking and Dagenham,E12000007,London,1849,1849,0,101.5,690,2.7,0.1821673528559817,0,0,0,0.0,E09000002,Barking and Dagenham
E01000059,Barking and Dagenham 013C,E02000014,Barking and Dagenham 013,E09000002,Barking and Dagenham,E12000007,London,1582,1540,42,75.9,578,2.7,0.2093425660439872,0,0,0,0.0,E09000002,Barking and Dagenham
E01000060,Barking and Dagenham 006B,E02000007,Barking and Dagenham 006,E09000002,Barking and Dagenham,E12000007,London,1809,1809,0,32.9,770,2.3,0.5504013569969537,3,3,0,5.450567957114619,E09000002,Barking and Dagenham
E01000061,Barking and Dagenham 006C,E02000007,Barking and Dagenham 006,E09000002,Barking and Dagenham,E12000007,London,1776,1719,57,29.1,668,2.6,0.6055282149888839,3,3,0,4.954352127183823,E09000002,Barking and Dagenham
E01000062,Barking and Dagenham 006D,E02000007,Barking and Dagenham 006,E09000002,Barking and Dagenham,E12000007,London,1952,1952,0,88.2,761,2.6,0.2259149090560479,0,0,0,0.0,E09000002,Barking and Dagenham
E01000063,Barking and Dagenham 004A,E02000005,Barking and Dagenham 004,E09000002,Barking and Dagenham,E12000007,London,1620,1620,0,89.4,635,2.6,0.18252154981300436,1,1,0,5.478805111092431,E09000002,Barking and Dagenham
E01000064,Barking and Dagenham 006E,E02000007,Barking and Dagenham 006,E09000002,Barking and Dagenham,E12000007,London,1893,1831,62,90.7,709,2.6,0.20930318234711662,0,0,0,0.0,E09000002,Barking and Dagenham
E01000065,Barking and Dagenham 007A,E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,E12000007,London,1736,1736,0,74.3,774,2.2,0.2312339720170596,2,2,0,8.649248129736089,E09000002,Barking and Dagenham
E01000066,Barking and Dagenham 011A,E02000012,Barking and Dagenham 011,E09000002,Barking and Dagenham,E12000007,London,1928,1928,0,78.7,683,2.8,0.2458411997348442,0,0,0,0.0,E09000002,Barking and Dagenham
E01000067,Barking and Dagenham 011B,E02000012,Barking and Dagenham 011,E09000002,Barking and Dagenham,E12000007,London,1969,1969,0,102.3,679,2.9,0.19214965265230552,3,3,0,15.61283072121132,E09000002,Barking and Dagenham
E01000068,Barking and Dagenham 016E,E02000017,Barking and Dagenham 016,E09000002,Barking and Dagenham,E12000007,London,1590,1575,15,46.8,462,3.4,0.34169239867359696,2,2,0,5.853217712081761,E09000002,Barking and Dagenham
E01000069,Barking and Dagenham 011C,E02000012,Barking and Dagenham 011,E09000002,Barking and Dagenham,E12000007,London,1763,1756,7,87.9,513,3.4,0.1953563954015379,0,0,0,0.0,E09000002,Barking and Dagenham
E01000070,Barking and Dagenham 011D,E02000012,Barking and Dagenham 011,E09000002,Barking and Dagenham,E12000007,London,1975,1975,0,50.4,598,3.3,0.3958180111749529,2,2,0,5.0528271668668285,E09000002,Barking and Dagenham
E01000071,Barking and Dagenham 011E,E02000012,Barking and Dagenham 011,E09000002,Barking and Dagenham,E12000007,London,2253,2251,2,83.3,785,2.9,0.2706216324428481,0,0,0,0.0,E09000002,Barking and Dagenham
E01000072,Barking and Dagenham 017E,E02000018,Barking and Dagenham 017,E09000002,Barking and Dagenham,E12000007,London,1991,1991,0,38.3,784,2.5,0.5225601235489489,0,0,0,0.0,E09000002,Barking and Dagenham
E01000073,Barking and Dagenham 012B,E02000013,Barking and Dagenham 012,E09000002,Barking and Dagenham,E12000007,London,1619,1619,0,56.9,627,2.6,0.28292859848114,0,0,0,0.0,E09000002,Barking and Dagenham
E01000074,Barking and Dagenham 012C,E02000013,Barking and Dagenham 012,E09000002,Barking and Dagenham,E12000007,London,1567,1567,0,95.4,629,2.5,0.16457125597999553,0,0,0,0.0,E09000002,Barking and Dagenham
E01000075,Barking and Dagenham 012D,E02000013,Barking and Dagenham 012,E09000002,Barking and Dagenham,E12000007,London,1732,1732,0,33.5,622,2.8,0.5161598306071993,0,0,0,0.0,E09000002,Barking and Dagenham
E01000076,Barking and Dagenham 012E,E02000013,Barking and Dagenham 012,E09000002,Barking and Dagenham,E12000007,London,1988,1982,6,104.2,710,2.8,0.1899810506815187,0,0,0,0.0,E09000002,Barking and Dagenham
E01000077,Barking and Dagenham 008F,E02000009,Barking and Dagenham 008,E09000002,Barking and Dagenham,E12000007,London,1445,1437,8,83.1,560,2.6,0.17401923810147968,1,1,0,5.746491082881583,E09000002,Barking and Dagenham
E01000078,Barking and Dagenham 007B,E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,E12000007,London,1666,1666,0,94.8,649,2.6,0.17176029990810984,0,0,0,0.0,E09000002,Barking and Dagenham
E01000079,Barking and Dagenham 009E,E02000010,Barking and Dagenham 009,E09000002,Barking and Dagenham,E12000007,London,1546,1546,0,49.9,609,2.5,0.30990890073371635,0,0,0,0.0,E09000002,Barking and Dagenham
E01000080,Barking and Dagenham 007C,E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,E12000007,London,1556,1556,0,67.3,594,2.6,0.23296304438817841,0,0,0,0.0,E09000002,Barking and Dagenham
E01000081,Barking and Dagenham 007D,E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,E12000007,London,1688,1688,0,90.9,648,2.6,0.18634207290338695,0,0,0,0.0,E09000002,Barking and Dagenham
E01000082,Barking and Dagenham 007E,E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,E12000007,London,1683,1678,5,104.7,672,2.5,0.16335065077484182,2,2,0,12.243599829649572,E09000002,Barking and Dagenham
E01000083,Barking and Dagenham 007F,E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,E12000007,London,1700,1700,0,94.5,629,2.7,0.17926800825366296,2,2,0,11.15648028604197,E09000002,Barking and Dagenham
E01000084,Barking and Dagenham 013D,E02000014,Barking and Dagenham 013,E09000002,Barking and Dagenham,E12000007,London,1355,1355,0,90.3,517,2.6,0.15248140816464414,0,0,0,0.0,E09000002,Barking and Dagenham
E01000085,Barking and Dagenham 013E,E02000014,Barking and Dagenham 013,E09000002,Barking and Dagenham,E12000007,London,1718,1711,7,118.2,640,2.7,0.14456950191875842,0,0,0,0.0,E09000002,Barking and Dagenham
E01000086,Barking and Dagenham 013F,E02000014,Barking and Dagenham 013,E09000002,Barking and Dagenham,E12000007,London,1431,1431,0,102.1,508,2.8,0.13909235845512077,0,0,0,0.0,E09000002,Barking and Dagenham
E01000087,Barking and Dagenham 020B,E02000021,Barking and Dagenham 020,E09000002,Barking and Dagenham,E12000007,London,1341,1341,0,36.0,503,2.7,0.3751621880934847,0,0,0,0.0,E09000002,Barking and Dagenham
E01000088,Barking and Dagenham 020C,E02000021,Barking and Dagenham 020,E09000002,Barking and Dagenham,E12000007,London,1828,1723,105,80.7,640,2.7,0.22435139486775185,0,0,0,0.0,E09000002,Barking and Dagenham
E01000089,Barking and Dagenham 020D,E02000021,Barking and Dagenham 020,E09000002,Barking and Dagenham,E12000007,London,1666,1666,0,114.5,612,2.7,0.1509419200767485,0,0,0,0.0,E09000002,Barking and Dagenham
E01000090,Barking and Dagenham 020E,E02000021,Barking and Dagenham 020,E09000002,Barking and Dagenham,E12000007,London,1584,1584,0,8.1,549,2.9,1.943486365489947,0,0,0,0.0,E09000002,Barking and Dagenham
E01000091,Barking and Dagenham 022A,E02000023,Barking and Dagenham 022,E09000002,Barking and Dagenham,E12000007,London,1714,1714,0,69.6,633,2.7,0.2477622836656449,0,0,0,0.0,E09000002,Barking and Dagenham
E01000092,Barking and Dagenham 019E,E02000020,Barking and Dagenham 019,E09000002,Barking and Dagenham,E12000007,London,2674,2674,0,10.1,975,2.7,2.643463284610377,0,0,0,0.0,E09000002,Barking and Dagenham
E01000093,Barking and Dagenham 022B,E02000023,Barking and Dagenham 022,E09000002,Barking and Dagenham,E12000007,London,1547,1547,0,52.7,642,2.4,0.2922224578821445,0,0,0,0.0,E09000002,Barking and Dagenham
E01000094,Barking and Dagenham 022C,E02000023,Barking and Dagenham 022,E09000002,Barking and Dagenham,E12000007,London,1326,1326,0,22.0,517,2.6,0.600238100983178,0,0,0,0.0,E09000002,Barking and Dagenham
E01000095,Barking and Dagenham 018E,E02000019,Barking and Dagenham 018,E09000002,Barking and Dagenham,E12000007,London,1572,1572,0,6.9,549,2.9,2.2973607713992874,0,0,0,0.0,E09000002,Barking and Dagenham
E01000096,Barking and Dagenham 022D,E02000023,Barking and Dagenham 022,E09000002,Barking and Dagenham,E12000007,London,1895,1895,0,31.5,639,3.0,0.5986500704133572,0,0,0,0.0,E09000002,Barking and Dagenham
E01000097,Barking and Dagenham 023C,E02006799,Barking and Dagenham 023,E09000002,Barking and Dagenham,E12000007,London,1683,1683,0,93.9,708,2.4,0.18142166251769037,0,0,0,0.0,E09000002,Barking and Dagenham
E01000098,Barking and Dagenham 023D,E02006799,Barking and Dagenham 023,E09000002,Barking and Dagenham,E12000007,London,1746,1746,0,99.5,625,2.8,0.1736495172824053,0,0,0,0.0,E09000002,Barking and Dagenham
E01000099,Barking and Dagenham 023E,E02006799,Barking and Dagenham 023,E09000002,Barking and Dagenham,E12000007,London,1732,1732,0,55.9,666,2.6,0.3103078192134407,0,0,0,0.0,E09000002,Barking and Dagenham
E01000100,Barking and Dagenham 004B,E02000005,Barking and Dagenham 004,E09000002,Barking and Dagenham,E12000007,London,1653,1653,0,78.2,615,2.7,0.2106054320934432,0,0,0,0.0,E09000002,Barking and Dagenham
E01000101,Barking and Dagenham 004C,E02000005,Barking and Dagenham 004,E09000002,Barking and Dagenham,E12000007,London,1513,1513,0,92.3,567,2.7,0.16099844474032246,1,1,0,6.211240124790768,E09000002,Barking and Dagenham
E01000102,Barking and Dagenham 007G,E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,E12000007,London,1540,1540,0,60.9,625,2.5,0.2543907656310687,0,0,0,0.0,E09000002,Barking and Dagenham
E01000103,Barking and Dagenham 014A,E02000015,Barking and Dagenham 014,E09000002,Barking and Dagenham,E12000007,London,1685,1685,0,24.0,600,2.8,0.6982383021271585,0,0,0,0.0,E09000002,Barking and Dagenham
E01000104,Barking and Dagenham 014B,E02000015,Barking and Dagenham 014,E09000002,Barking and Dagenham,E12000007,London,1781,1781,0,80.9,739,2.4,0.21616918382581732,0,0,0,0.0,E09000002,Barking and Dagenham
