LSOA11CD,LSOA11NM,MSOA11CD,MSOA11NM,LAD11CD,LAD11NM,RGN11CD,RGN11NM,USUALRES,HHOLDRES,COMESTRES,POPDEN,HHOLDS,AVHHOLDSZ,night_bus_stop_count,night_tube_station_count,night_transit_score
E01000237,Barnet 032A,E02000055,Barnet 032,E09000003,Barnet,E12000007,London,2038,2038,0,62.8,740,2.8,6,1,9
E01000238,Barnet 034B,E02000057,Barnet 034,E09000003,Barnet,E12000007,London,1963,1961,2,92.9,615,3.2,0,0,0
E01000239,Barnet 031A,E02000054,Barnet 031,E09000003,Barnet,E12000007,London,1970,1970,0,45.9,877,2.2,3,0,3
E01000240,Barnet 031B,E02000054,Barnet 031,E09000003,Barnet,E12000007,London,1670,1670,0,37.9,582,2.9,4,0,4
E01000241,Barnet 031C,E02000054,Barnet 031,E09000003,Barnet,E12000007,London,1744,1744,0,51.3,696,2.5,0,0,0
E01000242,Barnet 032B,E02000055,Barnet 032,E09000003,Barnet,E12000007,London,1656,1592,64,59.9,597,2.7,0,0,0
E01000243,Barnet 032C,E02000055,Barnet 032,E09000003,Barnet,E12000007,London,1884,1884,0,102.6,791,2.4,0,0,0
E01000244,Barnet 032D,E02000055,Barnet 032,E09000003,Barnet,E12000007,London,1705,1532,173,76.2,582,2.6,0,0,0
E01000245,Barnet 032E,E02000055,Barnet 032,E09000003,Barnet,E12000007,London,1982,1982,0,109.4,811,2.4,0,0,0
E01000246,Barnet 002B,E02000025,Barnet 002,E09000003,Barnet,E12000007,London,1503,1498,5,14.0,654,2.3,1,0,1
E01000247,Barnet 002C,E02000025,Barnet 002,E09000003,Barnet,E12000007,London,1691,1691,0,63.7,746,2.3,0,0,0
E01000248,Barnet 001A,E02000024,Barnet 001,E09000003,Barnet,E12000007,London,1661,1613,48,61.3,666,2.4,2,0,2
E01000249,Barnet 001B,E02000024,Barnet 001,E09000003,Barnet,E12000007,London,1525,1510,15,18.8,572,2.6,0,0,0
E01000250,Barnet 001C,E02000024,Barnet 001,E09000003,Barnet,E12000007,London,2232,2219,13,38.4,979,2.3,6,1,9
