LSOA11CD,LSOA11NM,MSOA11CD,MSOA11NM,LAD11CD,LAD11NM,RGN11CD,RGN11NM,USUALRES,HHOLDRES,COMESTRES,POPDEN,HHOLDS,AVHHOLDSZ,area_km2,night_transport_pts,night_bus,night_tube,night_transport_density_km2,LAD19CD,LAD19NM
E01000032,Barking and Dagenham 002B,E02000003,Barking and Dagenham 002,E09000002,Barking and Dagenham,E12000007,London,1629,1629,0,43.4,631,2.6,0.379266254,1,1,0,2.636670122,E09000002,Barking and Dagenham
E01000033,Barking and Dagenham 006A,E02000007,Barking and Dagenham 006,E09000002,Barking and Dagenham,E12000007,London,1361,1361,0,93.7,533,2.6,0.142768092,0,0,0,0,E09000002,Barking and Dagenham
E01000034,Barking and Dagenham 003A,E02000004,Barking and Dagenham 003,E09000002,Barking and Dagenham,E12000007,London,1444,1348,96,28.1,517,2.6,0.514944367,0,0,0,0,E09000002,Barking and Dagenham
E01000035,Barking and Dagenham 010A,E02000011,Barking and Dagenham 010,E09000002,Barking and Dagenham,E12000007,London,1610,1543,67,40.5,567,2.7,0.39437825,0,0,0,0,E09000002,Barking and Dagenham
E01000036,Barking and Dagenham 010B,E02000011,Barking and Dagenham 010,E09000002,Barking and Dagenham,E12000007,London,1353,1353,0,32.3,469,2.9,0.429815692,0,0,0,0,E09000002,Barking and Dagenham
E01000037,Barking and Dagenham 003B,E02000004,Barking and Dagenham 003,E09000002,Barking and Dagenham,E12000007,London,1688,1547,141,72.3,579,2.7,0.2375154,0,0,0,0,E09000002,Barking and Dagenham
E01000038,Barking and Dagenham 003C,E02000004,Barking and Dagenham 003,E09000002,Barking and Dagenham,E12000007,London,1447,1447,0,67.6,563,2.6,0.212309086,0,0,0,0,E09000002,Barking and Dagenham
E01000039,Barking and Dagenham 003D,E02000004,Barking and Dagenham 003,E09000002,Barking and Dagenham,E12000007,London,1603,1595,8,10.5,659,2.4,1.525446595,0,0,0,0,E09000002,Barking and Dagenham
E01000040,Barking and Dagenham 019A,E02000020,Barking and Dagenham 019,E09000002,Barking and Dagenham,E12000007,London,1569,1569,0,91.9,640,2.5,0.169294177,0,0,0,0,E09000002,Barking and Dagenham
E01000041,Barking and Dagenham 017A,E02000018,Barking and Dagenham 017,E09000002,Barking and Dagenham,E12000007,London,1682,1682,0,110.2,607,2.8,0.151659253,0,0,0,0,E09000002,Barking and Dagenham
E01000042,Barking and Dagenham 017B,E02000018,Barking and Dagenham 017,E09000002,Barking and Dagenham,E12000007,London,1788,1786,2,77.3,679,2.6,0.232000359,0,0,0,0,E09000002,Barking and Dagenham
E01000043,Barking and Dagenham 019B,E02000020,Barking and Dagenham 019,E09000002,Barking and Dagenham,E12000007,London,1358,1356,2,51,461,2.9,0.265312132,0,0,0,0,E09000002,Barking and Dagenham
E01000044,Barking and Dagenham 016D,E02000017,Barking and Dagenham 016,E09000002,Barking and Dagenham,E12000007,London,1798,1793,5,105.4,629,2.9,0.17448581,0,0,0,0,E09000002,Barking and Dagenham
E01000045,Barking and Dagenham 017C,E02000018,Barking and Dagenham 017,E09000002,Barking and Dagenham,E12000007,London,1650,1646,4,55.3,602,2.7,0.299586821,0,0,0,0,E09000002,Barking and Dagenham
E01000046,Barking and Dagenham 017D,E02000018,Barking and Dagenham 017,E09000002,Barking and Dagenham,E12000007,London,1779,1779,0,114.4,654,2.7,0.157068613,0,0,0,0,E09000002,Barking and Dagenham
E01000048,Barking and Dagenham 021B,E02000022,Barking and Dagenham 021,E09000002,Barking and Dagenham,E12000007,London,1783,1783,0,275.6,644,2.8,0.064038493,0,0,0,0,E09000002,Barking and Dagenham
E01000049,Barking and Dagenham 021C,E02000022,Barking and Dagenham 021,E09000002,Barking and Dagenham,E12000007,London,1820,1820,0,85.8,643,2.8,0.21358064,0,0,0,0,E09000002,Barking and Dagenham
E01000050,Barking and Dagenham 019C,E02000020,Barking and Dagenham 019,E09000002,Barking and Dagenham,E12000007,London,1661,1661,0,120.6,615,2.7,0.13816282,0,0,0,0,E09000002,Barking and Dagenham
E01000051,Barking and Dagenham 021D,E02000022,Barking and Dagenham 021,E09000002,Barking and Dagenham,E12000007,London,1927,1927,0,288.9,725,2.7,0.065796076,0,0,0,0,E09000002,Barking and Dagenham
E01000052,Barking and Dagenham 019D,E02000020,Barking and Dagenham 019,E09000002,Barking and Dagenham,E12000007,London,2014,2014,0,100.9,769,2.6,0.200565956,0,0,0,0,E09000002,Barking and Dagenham
E01000053,Barking and Dagenham 020A,E02000021,Barking and Dagenham 020,E09000002,Barking and Dagenham,E12000007,London,1485,1484,1,82.1,645,2.3,0.178084688,0,0,0,0,E09000002,Barking and Dagenham
E01000054,Barking and Dagenham 018A,E02000019,Barking and Dagenham 018,E09000002,Barking and Dagenham,E12000007,London,1718,1718,0,100.4,638,2.7,0.171032399,0,0,0,0,E09000002,Barking and Dagenham
E01000055,Barking and Dagenham 018B,E02000019,Barking and Dagenham 018,E09000002,Barking and Dagenham,E12000007,London,1553,1553,0,106.4,560,2.8,0.147235002,0,0,0,0,E09000002,Barking and Dagenham
E01000056,Barking and Dagenham 018C,E02000019,Barking and Dagenham 018,E09000002,Barking and Dagenham,E12000007,London,1584,1542,42,65,573,2.7,0.248951149,0,0,0,0,E09000002,Barking and Dagenham
E01000057,Barking and Dagenham 012A,E02000013,Barking and Dagenham 012,E09000002,Barking and Dagenham,E12000007,London,1496,1496,0,101.3,537,2.8,0.146457005,0,0,0,0,E09000002,Barking and Dagenham
