,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,12522.717451835033,333.46306513263806,37.55353669184923,1.23353356045312e-308,11869.141854000729,13176.293049669337
ln_night_transport_density,-719.4997914047915,88.14295165179435,-8.1628738080743,3.271462342401969e-16,-892.2568021333636,-546.7427806762194
dist_to_charing_cross_km,279.3551232280519,21.400670050691968,13.053569003509741,6.063873835416541e-39,237.4105806836707,321.2996657724332
